variables,sensitivity,sensitivity_normalized
ages,0.0002924368734529389,0.045930201302199755
flow,0.0005436213386265816,0.0853812900557779
exp_ratio,0.0001623844508635692,0.025504138477636783
tna,0.00021940898839251623,0.0344604252035338
turnover,0.0007505589168732714,0.11788295276894373
Family_TNA,0.00010078813652717318,0.015829807455220328
fund_no,0.00022735993105620257,0.03570920205158792
Family_r12_2,0.00019142699577053175,0.030065567131125764
Family_flow,0.0001840730013966811,0.02891054711611195
Family_age,0.00016391006380789768,0.02574375159076742
F_ST_Rev,0.0007002159245187951,0.10997607103513833
F_r2_1,0.000399867904842083,0.0628033433227131
F_r12_2,0.001274552275264787,0.2001814678220089
sentiment,0.0011563795610058595,0.18162123466723426
