variables,sensitivity,sensitivity_normalized
ages,0.0002796446797122876,0.039340420428784204
flow,0.0005786991356306373,0.08141140865224525
exp_ratio,0.00018366887672462273,0.025838542100866228
tna,0.00023386476935323316,0.032900101512042375
turnover,0.00076326471339345,0.10737609867724726
Family_TNA,0.00011350628329743115,0.015968066729622168
fund_no,0.00020839280695585094,0.029316705214676067
Family_r12_2,0.00019400077625281363,0.02729203398093766
Family_flow,0.00019190844452477205,0.026997684701908546
Family_age,0.00016323963576850647,0.02296455598004522
F_ST_Rev,0.0008153780858006147,0.11470740919089255
F_r2_1,0.00034545486402139493,0.04859859877810861
F_r12_2,0.0013593506323606955,0.19123348043747398
sentiment,0.0016779560157223969,0.23605489361514992
