variables,sensitivity,sensitivity_normalized
ages,0.00020900182345465413,0.0438685163805556
flow,0.0004555595906835907,0.09561985171176399
exp_ratio,6.255011927371746e-05,0.01312898082231386
tna,0.00014936030241074756,0.03135003687818165
turnover,0.0005973892821167726,0.12538924816507102
Family_TNA,0.00010489916670966422,0.022017850069657195
fund_no,0.00015514414661258404,0.0325640390333633
Family_r12_2,0.00013154937526028382,0.027611605621755204
Family_flow,0.00015937854030686273,0.03345281869120915
Family_age,0.00012750711093914192,0.026763153030981406
F_ST_Rev,0.0004368905479666739,0.09170130596561145
F_r2_1,0.000196760087478741,0.041299032601375574
F_r12_2,0.0009111479108487127,0.19124573360886477
sentiment,0.0010671403599832958,0.22398782741929588
