variables,sensitivity,sensitivity_normalized
ages,0.0002193374719928543,0.04645342419822358
flow,0.00035232613581874197,0.07461905753998185
exp_ratio,0.00016240178310932113,0.03439502996355758
tna,0.00017790516755888515,0.03767848758618945
turnover,0.0003312856076768777,0.07016288974408183
Family_TNA,0.00011498756765685916,0.02435318602586991
fund_no,0.00016717311968058348,0.035405550052640074
Family_r12_2,0.00018399921983481836,0.03896914527859367
Family_flow,0.0001136678430552545,0.024073681907462043
Family_age,0.0001643439819838851,0.03480636774080876
F_ST_Rev,0.0006390128987071689,0.13533636994205744
F_r2_1,0.00036570338362054954,0.07745222125385182
F_r12_2,0.0010025064377218802,0.2123205688012201
sentiment,0.0007270136243926919,0.15397401996546198
