variables,sensitivity,sensitivity_normalized
ages,0.00011655442534094212,0.038568080265166685
flow,0.0002393040382337381,0.07918615983373803
exp_ratio,9.595173229280219e-05,0.03175061008473476
tna,9.002105602309865e-05,0.029788138065954206
turnover,0.00016907575347211194,0.05594748729386373
Family_TNA,0.00010947097276101638,0.036224152380335765
fund_no,0.00015510857970937848,0.051325723022083575
Family_r12_2,0.0001268881465730022,0.04198752820762033
Family_flow,7.836966787275227e-05,0.025932671642704467
Family_age,9.651627848876289e-05,0.031937419491031564
F_ST_Rev,0.0003874865270883702,0.12822002626411946
F_r2_1,0.00018219395749948823,0.0602883258710581
F_r12_2,0.0006071793600987968,0.20091680111794935
sentiment,0.0005679232396654757,0.18792687645964
