variables,sensitivity,sensitivity_normalized
ages,0.0002814375304729018,0.040180921682574124
flow,0.0005996652184251335,0.08561438531960111
exp_ratio,0.0001366885847408133,0.01951507074818274
tna,0.00019436278636895856,0.027749234027087098
turnover,0.000850438804294896,0.12141740632024693
Family_TNA,0.00011483649652021026,0.016395241477660867
fund_no,0.00020342440040899089,0.029042963415091768
Family_r12_2,0.00012313008296292244,0.017579319332388786
Family_flow,0.00018483510865868562,0.026388964587364505
Family_age,0.00010528338858060534,0.0150313413563748
F_ST_Rev,0.000647640251969399,0.09246379542607092
F_r2_1,0.0002615497860594429,0.0373415423738604
F_r12_2,0.0012440745882457457,0.17761690672025013
sentiment,0.0020568906818638735,0.2936629072132457
