variables,sensitivity,sensitivity_normalized
ages,0.0002636014994016908,0.045649809431736334
flow,0.0005337036238983911,0.09242537989839811
exp_ratio,0.00011264777598172398,0.019508043460095888
tna,0.0001950224537759598,0.03377347196426861
turnover,0.0007556777192331535,0.13086626575759658
Family_TNA,0.00010145538300650025,0.01756977449135424
fund_no,0.00018981465746623763,0.03287159959390002
Family_r12_2,0.00015708611044694883,0.027203756513343655
Family_flow,0.00018236372987610148,0.03158126769005501
Family_age,0.00012325583372177148,0.0213451188006124
F_ST_Rev,0.000546784072199193,0.09469061728729232
F_r2_1,0.0003443065594461337,0.05962609795652772
F_r12_2,0.0011269802365651465,0.1951674521931876
sentiment,0.0011417275043293126,0.1977213449616316
