variables,sensitivity,sensitivity_normalized
ages,0.0002546198663643056,0.03894604196424108
flow,0.0005806084990365758,0.08880847865939918
exp_ratio,0.00014466311907577914,0.02212732253241462
tna,0.00023717308311953936,0.03627742398837783
turnover,0.0007831254465784273,0.11978498355690018
Family_TNA,0.00010351716025658188,0.015833735697604948
fund_no,0.00019719668634307034,0.03016273054883334
Family_r12_2,0.0001695762933418529,0.025937981709498292
Family_flow,0.00017879066713273587,0.027347390148274534
Family_age,0.00012840042759717127,0.01963982038334367
F_ST_Rev,0.0007145621194958544,0.10929770205803513
F_r2_1,0.0002761613321253916,0.04224097272310872
F_r12_2,0.0012925324927485513,0.19770265934672207
sentiment,0.0014768325770347281,0.2258927566832465
